Key,French
InventoryItemDescriptions/InvDesc_165,Pot de fougères
InventoryItemDescriptions/InvDesc_166,Vase violet
InventoryItemDescriptions/InvDesc_167,Vase jaune mimosa
InventoryItemDescriptions/InvDesc_168,Armoires de cuisine
InventoryItemDescriptions/InvDesc_169,Four de cuisine
InventoryItemDescriptions/InvDesc_17,pre, mais délicieux.
InventoryItemDescriptions/InvDesc_170,Evier de cuisine
InventoryItemDescriptions/InvDesc_171,Une chaise
InventoryItemDescriptions/InvDesc_172,Une petite table 
InventoryItemDescriptions/InvDesc_173,Une lampe sur pied 
InventoryItemDescriptions/InvDesc_174,Un fauteuil
InventoryItemDescriptions/InvDesc_175,Un lit.
InventoryItemDescriptions/InvDesc_176,Une table de chevet.
InventoryItemDescriptions/InvDesc_177,Une chaise une personne.
InventoryItemDescriptions/InvDesc_178,Une lampe
InventoryItemDescriptions/InvDesc_179,Un canapé2 places 
InventoryItemDescriptions/InvDesc_18,Un feu que vous pouvez utiliser pour camper ! 
InventoryItemDescriptions/InvDesc_180,Une table longue 
InventoryItemDescriptions/InvDesc_181,Commode.
InventoryItemDescriptions/InvDesc_182,Un petit air avien 
InventoryItemDescriptions/InvDesc_183,Plus rapide et solide qu'une pioche ordinaire 
InventoryItemDescriptions/InvDesc_184,Une très bonne pioche.
InventoryItemDescriptions/InvDesc_185,J'ai toujours voulu en avoir une 
InventoryItemDescriptions/InvDesc_186,Un pantalon pour aller dans l'espace 
InventoryItemDescriptions/InvDesc_187,Une chemise pour aller dans l'espace.
InventoryItemDescriptions/InvDesc_188,Des Chaussures pour aller dans l'espace
InventoryItemDescriptions/InvDesc_189,Strike 1
InventoryItemDescriptions/InvDesc_19,Tellement bon 
InventoryItemDescriptions/InvDesc_190,Pantalon sombre
InventoryItemDescriptions/InvDesc_191,Si sombre.
InventoryItemDescriptions/InvDesc_192,Si sombre.
InventoryItemDescriptions/InvDesc_193,On dirait que ces shorts sont en difficulté.
InventoryItemDescriptions/InvDesc_194,Pas besoin d'épaules.
InventoryItemDescriptions/InvDesc_195,Attaché.
InventoryItemDescriptions/InvDesc_196,Strike 1
InventoryItemDescriptions/InvDesc_197,Un coquillage peu commun
InventoryItemDescriptions/InvDesc_198,Un coquillage ordinaire
InventoryItemDescriptions/InvDesc_199,Un coquillage rare.
InventoryItemDescriptions/InvDesc_2,Attraper ces bestioles rampantes
InventoryItemDescriptions/InvDesc_20,Très toxique. N'est-ce pas adorable ? 
InventoryItemDescriptions/InvDesc_200,Un beau poisson, on ne peut pas s'y tromper (jeu de mots intraduisible).
InventoryItemDescriptions/InvDesc_201,Un poisson océanique bleu
InventoryItemDescriptions/InvDesc_202,Il déteste les Lundis
InventoryItemDescriptions/InvDesc_203,Une perche au ventre doré 
InventoryItemDescriptions/InvDesc_204,Jack?
InventoryItemDescriptions/InvDesc_205,Un super poisson, vous avez ma parore (nom du poisson en français pour garder un jeu de mot) 
InventoryItemDescriptions/InvDesc_206,Sa tête est plate et ses yeux dessus
InventoryItemDescriptions/InvDesc_207,Je vais l'appeler Trevor.
InventoryItemDescriptions/InvDesc_208,Un énorme poisson!
InventoryItemDescriptions/InvDesc_209,Yarr.
InventoryItemDescriptions/InvDesc_21,Délicieux si vous le cuisiner. Pas tellement sinon
InventoryItemDescriptions/InvDesc_210,Un tas d'herbes collantes. Brûler-les pour en faire de la résine
InventoryItemDescriptions/InvDesc_211,Un radeau flottant.
InventoryItemDescriptions/InvDesc_212,de la résine collante pour l'artisanat. Faite à partir de touffe de spinifex brûlée.
InventoryItemDescriptions/InvDesc_213,Une bûche légère 
InventoryItemDescriptions/InvDesc_214,Pulpe de cactus
InventoryItemDescriptions/InvDesc_215,Le fruit d'un cactus.
InventoryItemDescriptions/InvDesc_216,Une hache plus évoluée
InventoryItemDescriptions/InvDesc_217,Une hache très puissante
InventoryItemDescriptions/InvDesc_218,Vous sautez plus haut avec ça 
InventoryItemDescriptions/InvDesc_219,Vous nagez plus vite avec ça
InventoryItemDescriptions/InvDesc_22,Utilisé pour clouer les choses ensemble.
InventoryItemDescriptions/InvDesc_220,Vous courrez plus vite avec ça 
InventoryItemDescriptions/InvDesc_221,Une robe noire avec un col blanc.
InventoryItemDescriptions/InvDesc_222,Bleu et facile à porter.
InventoryItemDescriptions/InvDesc_223,Mettez-le dans de l'eau peu profonde. Laissez-le pendant une journée.
InventoryItemDescriptions/InvDesc_224,Un crabe boueux
InventoryItemDescriptions/InvDesc_225,Doux et droit
InventoryItemDescriptions/InvDesc_226,Recueillez du miel grâce à cela. Peut prendre une semaine. 
InventoryItemDescriptions/InvDesc_227,Une petite usine à miel. Où est la reine?
InventoryItemDescriptions/InvDesc_228,. La patronne des abeilles. Permet de créer une ruche.
InventoryItemDescriptions/InvDesc_229,Très toxique. N'est-ce pas adorable?
InventoryItemDescriptions/InvDesc_23,Cette pierre brille. Il y a peut-être quelque chose à l'intérieur. 
InventoryItemDescriptions/InvDesc_230,8 pattes. Plus amical qu'on ne pourrait le croire. 
InventoryItemDescriptions/InvDesc_231,Ça pue!
InventoryItemDescriptions/InvDesc_232,Cette chose tue les araignées quand elle a faim
InventoryItemDescriptions/InvDesc_233,C'est très rare et gros ! 
InventoryItemDescriptions/InvDesc_234,Il a une petite queue.
InventoryItemDescriptions/InvDesc_235,Il flotte , M. J.
InventoryItemDescriptions/InvDesc_236,Viser et tirer.
InventoryItemDescriptions/InvDesc_237,Comme un homard, sauf que c'est une écrevisse
InventoryItemDescriptions/InvDesc_238,Ouaip. Rose et court 
InventoryItemDescriptions/InvDesc_239,Des chaussures rose bien sympa 
InventoryItemDescriptions/InvDesc_24,Personne ne sait
InventoryItemDescriptions/InvDesc_240,Un T-shirt rose Нормальные розовая футболка
InventoryItemDescriptions/InvDesc_241,Des chaussures bleues bien sympa
InventoryItemDescriptions/InvDesc_242,T-shirt bleu 
InventoryItemDescriptions/InvDesc_243,C'est bien violet ! 
InventoryItemDescriptions/InvDesc_244,Des ballerines violettes 
InventoryItemDescriptions/InvDesc_245,C'est comme un short violet, mais en plus long.
InventoryItemDescriptions/InvDesc_246,Une dent pointue de croco 
InventoryItemDescriptions/InvDesc_247,Pourquoi ça brille ? 
InventoryItemDescriptions/InvDesc_248,je n'en crois pas mes yeux 
InventoryItemDescriptions/InvDesc_249,Si petit. Si bruyant. 
InventoryItemDescriptions/InvDesc_25,Une petite lampe de jardin 
InventoryItemDescriptions/InvDesc_250,De jolis chemins lisses 
InventoryItemDescriptions/InvDesc_251,Met les choses à leur place 
InventoryItemDescriptions/InvDesc_252,Son un ute
InventoryItemDescriptions/InvDesc_253,D'épaisses bottes vertes 
InventoryItemDescriptions/InvDesc_254,Ouaip. Un futal marron 
InventoryItemDescriptions/InvDesc_255,Bleu et chaud
InventoryItemDescriptions/InvDesc_256,Sont des chaussettes ou un pantalon?
InventoryItemDescriptions/InvDesc_257,Il a une courte singlet
InventoryItemDescriptions/InvDesc_258,Ouaip. Un futal marron 
InventoryItemDescriptions/InvDesc_259,Quelle heure est-il?
InventoryItemDescriptions/InvDesc_26,Des cailloux. Cool. 
InventoryItemDescriptions/InvDesc_260,des chaussures rouges 
InventoryItemDescriptions/InvDesc_261,Tout est fini
InventoryItemDescriptions/InvDesc_262,Des Collants noirs et blancs.
InventoryItemDescriptions/InvDesc_263,Bon appétit 
InventoryItemDescriptions/InvDesc_264,5, 6, 7, 8
InventoryItemDescriptions/InvDesc_265,Construit un réservoir d'eau.
InventoryItemDescriptions/InvDesc_266,Parfait pour cuisiner.
InventoryItemDescriptions/InvDesc_267,Des Pantalons pour cuisiner 
InventoryItemDescriptions/InvDesc_268,Un Short orange
InventoryItemDescriptions/InvDesc_269,Un T-shirt clair 
InventoryItemDescriptions/InvDesc_27,Extrayez de précieux matériaux hors de ces vieux cailloux. Ou transformer la pierre en ciment. 
InventoryItemDescriptions/InvDesc_270,Glissez les chiots sur.
InventoryItemDescriptions/InvDesc_271,Une clôture végétale 
InventoryItemDescriptions/InvDesc_272,C'est du caca. Les plantes doivent aimer ça.
InventoryItemDescriptions/InvDesc_273,Un poteau qui fait de la lumière 
InventoryItemDescriptions/InvDesc_274,Ouvrez et fermez. 
InventoryItemDescriptions/InvDesc_275,Accélère la croissance des plantes 
InventoryItemDescriptions/InvDesc_276,Vous empêche de tomber 
InventoryItemDescriptions/InvDesc_277,Tic tac Tic tac - BOOOM!
InventoryItemDescriptions/InvDesc_278,irrigue les cultures automatiquement 
InventoryItemDescriptions/InvDesc_279,Zone dangereuse!
InventoryItemDescriptions/InvDesc_28,Si bonne. Vous pourriez en faire du sucre. 
InventoryItemDescriptions/InvDesc_280,Yaaar
InventoryItemDescriptions/InvDesc_281,Ne signifie pas que c'est mauvais 
InventoryItemDescriptions/InvDesc_282,vous aide à mieux voir 
InventoryItemDescriptions/InvDesc_283,Vous donne un air cool 
InventoryItemDescriptions/InvDesc_284,Ne le laissez pas tomber.
InventoryItemDescriptions/InvDesc_285,Vous aide à mieux voir 
InventoryItemDescriptions/InvDesc_286,Vous aide à mieux voir 
InventoryItemDescriptions/InvDesc_287,Vous donne un air cool 
InventoryItemDescriptions/InvDesc_288,Vous aide à voir 
InventoryItemDescriptions/InvDesc_289,Vous onne l'air cool 
InventoryItemDescriptions/InvDesc_29,Belle prise, mon pote 
InventoryItemDescriptions/InvDesc_290,Vous aide à mieux voir 
InventoryItemDescriptions/InvDesc_291,Vous donne un air cool 
InventoryItemDescriptions/InvDesc_292,Pour les Fêtes !
InventoryItemDescriptions/InvDesc_293,Si festif !
InventoryItemDescriptions/InvDesc_294,C'est Noël ! Ho Ho Ho !
InventoryItemDescriptions/InvDesc_295,c'est noël ! ho Ho Ho !
InventoryItemDescriptions/InvDesc_296,C'est Noël ! Ho Ho Ho !
InventoryItemDescriptions/InvDesc_297,Visqueux 
InventoryItemDescriptions/InvDesc_298,Dégueux, c'est plein de termites 
InventoryItemDescriptions/InvDesc_299,C'est de l'argent.
InventoryItemDescriptions/InvDesc_3,Ça va tronçonner sec ! 
InventoryItemDescriptions/InvDesc_30,Rangez des trucs là-dedans si vous voulez 
InventoryItemDescriptions/InvDesc_300,Un par jour.
InventoryItemDescriptions/InvDesc_301,Ce bois est plus dur que les autres bois, je suppose?
InventoryItemDescriptions/InvDesc_302,Attraper des bestioles; 
InventoryItemDescriptions/InvDesc_303,Ne finissez pas fauché !
InventoryItemDescriptions/InvDesc_304,Peut couper les bûches en planches.
InventoryItemDescriptions/InvDesc_305,Une planche de bois de gomme.
InventoryItemDescriptions/InvDesc_306,Une planche de bois de palmier.
InventoryItemDescriptions/InvDesc_307,Une planche de bois dur.
InventoryItemDescriptions/InvDesc_308,Délicieux si vous le faites cuire, pas tellement sinon 
InventoryItemDescriptions/InvDesc_309,Une perle luisante.
InventoryItemDescriptions/InvDesc_31,Nous pourrions construire un moulin ici!
InventoryItemDescriptions/InvDesc_310,Délicieux si vous le faites cuire, pas tellement sinon
InventoryItemDescriptions/InvDesc_311,Comment est-ce possible ?
InventoryItemDescriptions/InvDesc_312,Comment est-ce possible ? 
InventoryItemDescriptions/InvDesc_313,fait pousser de l'herbe !
InventoryItemDescriptions/InvDesc_314,Un sentier en bois 
InventoryItemDescriptions/InvDesc_315,5, 6, 7, 8
InventoryItemDescriptions/InvDesc_316,N'essayez pas de mâchouiller ça 
InventoryItemDescriptions/InvDesc_317,Ça ressemble un peu à un sapin, non ? 
InventoryItemDescriptions/InvDesc_318,Fait pousser un palmier.
InventoryItemDescriptions/InvDesc_319,Un lit en chemin 
InventoryItemDescriptions/InvDesc_32,Du bois utilisé pour séparer les choses
InventoryItemDescriptions/InvDesc_320,Bon pour la santé.
InventoryItemDescriptions/InvDesc_321,Mettez-les dans le sol!
InventoryItemDescriptions/InvDesc_322,Faites bouillir et écrasez-les
InventoryItemDescriptions/InvDesc_323,Mettez-les dans le sol!
InventoryItemDescriptions/InvDesc_324,Bien plus savoureux une fois broyé 
InventoryItemDescriptions/InvDesc_325,Mettez-les dans le sol!
InventoryItemDescriptions/InvDesc_326,Mettez-les dans le sol!
InventoryItemDescriptions/InvDesc_327,Si seulement je pouvais entrer.
InventoryItemDescriptions/InvDesc_328,Ça fait peur ? 
InventoryItemDescriptions/InvDesc_329,Mettez-les dans le sol!
InventoryItemDescriptions/InvDesc_33,Une bûche de bois de gomme.
InventoryItemDescriptions/InvDesc_330,Je deviens larmoyant 
InventoryItemDescriptions/InvDesc_331,Mettez-les dans le sol!
InventoryItemDescriptions/InvDesc_332,Un endroit où les visiteurs peuvent poser leur tente 
InventoryItemDescriptions/InvDesc_333,Latin le jour.
InventoryItemDescriptions/InvDesc_334,Ce gars est médecin.
InventoryItemDescriptions/InvDesc_335,Couic. 
InventoryItemDescriptions/InvDesc_336,Un nom un peu méchant
InventoryItemDescriptions/InvDesc_337,Un énorme poisson!
InventoryItemDescriptions/InvDesc_338,Quelle queue immonde ! 
InventoryItemDescriptions/InvDesc_339,C'est un poisson?
